"id","data","target"
0,"[[286, 244, 8.077847480773926], [286, 244, 8.077847480773926], [286, 244, 8.077847480773926], [286, 244, 8.077847480773926], [286, 244, 8.077847480773926], [286, 244, 8.077847480773926], [289, 191, 9.962529182434082], [289, 191, 9.962529182434082], [289, 191, 9.962529182434082], [289, 191, 9.962529182434082]]",0
1,"[[286, 243, 9.486932754516602], [286, 243, 9.486932754516602], [286, 243, 9.486932754516602], [286, 243, 9.486932754516602], [286, 243, 9.486932754516602], [286, 243, 9.486932754516602], [286, 243, 9.486932754516602], [286, 243, 9.486932754516602], [293, 182, 9.192488670349121], [293, 182, 9.192488670349121]]",90
2,"[[288, 176, 10.770429611206055], [288, 176, 10.770429611206055], [288, 176, 10.770429611206055], [292, 151, 10.12432861328125], [292, 151, 10.12432861328125], [297, 128, 10.30786418914795], [297, 128, 10.30786418914795], [297, 128, 10.30786418914795], [297, 128, 10.30786418914795], [297, 128, 10.30786418914795]]",30
3,"[[281, 257, 8.544103622436523], [281, 257, 8.544103622436523], [281, 257, 8.544103622436523], [283, 235, 9.823541641235352], [283, 235, 9.823541641235352], [283, 235, 9.823541641235352], [283, 235, 9.823541641235352], [287, 166, 10.12432861328125], [287, 166, 10.12432861328125], [290, 146, 10.12432861328125]]",50
4,"[[290, 243, 9.219644546508789], [290, 243, 9.219644546508789], [290, 243, 9.219644546508789], [290, 243, 9.219644546508789], [290, 243, 9.219644546508789], [291, 196, 7.905794143676758], [291, 196, 7.905794143676758], [291, 196, 7.905794143676758], [292, 177, 9.013978004455566], [292, 177, 9.013978004455566]]",70
5,"[[291, 247, 9.486932754516602], [291, 247, 9.486932754516602], [305, 166, 9.394247055053711], [305, 166, 9.394247055053711], [309, 150, 10.000100135803223], [309, 150, 10.000100135803223], [309, 150, 10.000100135803223], [309, 150, 10.000100135803223], [316, 137, 10.12432861328125], [316, 137, 10.12432861328125]]",55
6,"[[277, 237, 9.34087085723877], [277, 237, 9.34087085723877], [277, 197, 8.560774803161621], [277, 197, 8.560774803161621], [277, 179, 9.013978004455566], [277, 179, 9.013978004455566], [277, 179, 9.013978004455566], [277, 179, 9.013978004455566], [277, 179, 9.013978004455566], [277, 150, 9.525437355041504]]",72
7,"[[268, 223, 9.823541641235352], [268, 223, 9.823541641235352], [268, 223, 9.823541641235352], [268, 223, 9.823541641235352], [268, 223, 9.823541641235352], [277, 178, 9.848958015441895], [277, 178, 9.848958015441895], [277, 178, 9.848958015441895], [282, 159, 10.062405586242676], [282, 159, 10.062405586242676]]",48
8,"[[295, 182, 9.34087085723877], [295, 182, 9.34087085723877], [295, 182, 9.34087085723877], [298, 163, 9.486932754516602], [298, 163, 9.486932754516602], [298, 163, 9.486932754516602], [298, 163, 9.486932754516602], [298, 163, 9.486932754516602], [298, 163, 9.486932754516602], [298, 163, 9.486932754516602]]",50
10,"[[292, 236, 8.381627082824707], [292, 236, 8.381627082824707], [295, 195, 7.615873336791992], [295, 195, 7.615873336791992], [295, 195, 7.615873336791992], [295, 195, 7.615873336791992], [296, 179, 8.544103622436523], [296, 179, 8.544103622436523], [296, 179, 8.544103622436523], [296, 179, 8.544103622436523]]",78
11,"[[291, 233, 8.732224464416504], [291, 233, 8.732224464416504], [291, 233, 8.732224464416504], [299, 190, 8.276573181152344], [299, 190, 8.276573181152344], [299, 190, 8.276573181152344], [299, 190, 8.276573181152344], [304, 171, 9.192488670349121], [304, 171, 9.192488670349121], [304, 171, 9.192488670349121]]",60
12,"[[289, 179, 9.65670394897461], [289, 179, 9.65670394897461], [291, 159, 9.962529182434082], [291, 159, 9.962529182434082], [293, 139, 10.453442573547363], [293, 139, 10.453442573547363], [293, 139, 10.453442573547363], [296, 121, 10.12432861328125], [296, 121, 10.12432861328125], [296, 121, 10.12432861328125]]",0
13,"[[282, 243, 9.486932754516602], [282, 243, 9.486932754516602], [282, 243, 9.486932754516602], [282, 243, 9.486932754516602], [297, 162, 9.848958015441895], [297, 162, 9.848958015441895], [303, 146, 10.317601203918457], [303, 146, 10.317601203918457], [310, 132, 10.547611236572266], [310, 132, 10.547611236572266]]",35
14,"[[288, 251, 8.077847480773926], [288, 251, 8.077847480773926], [289, 231, 7.905794143676758], [289, 231, 7.905794143676758], [289, 231, 7.905794143676758], [296, 178, 8.547059059143066], [296, 178, 8.547059059143066], [298, 165, 8.758027076721191], [298, 165, 8.758027076721191], [298, 165, 8.758027076721191]]",70
