"id","data","target"
0,"[[284, 168, 9.962529182434082], [284, 168, 9.962529182434082], [285, 145, 9.962529182434082], [285, 145, 9.962529182434082], [286, 123, 9.962529182434082], [286, 123, 9.962529182434082], [286, 123, 9.962529182434082], [287, 102, 10.453450202941895], [287, 102, 10.453450202941895], [287, 102, 10.453450202941895]]",15
0,"[[243, 241, 21.800329208374023], [308, 74, 15.890348434448242], [312, 121, 16.978025436401367], [312, 121, 16.978025436401367], [316, 175, 13.601571083068848], [284, 179, 9.486932754516602], [284, 179, 9.486932754516602], [284, 179, 9.486932754516602], [285, 159, 9.192488670349121], [285, 159, 9.192488670349121]]",87
0,"[[268, 214, 9.486932754516602], [268, 214, 9.486932754516602], [269, 193, 9.013978004455566], [269, 193, 9.013978004455566], [270, 174, 8.860122680664062], [270, 174, 8.860122680664062], [271, 156, 8.860122680664062], [271, 156, 8.860122680664062], [271, 156, 8.860122680664062], [271, 156, 8.860122680664062]]",74
1,"[[40, 268, 45.65094757080078], [270, 211, 8.381627082824707], [270, 211, 8.381627082824707], [271, 192, 8.860122680664062], [271, 192, 8.860122680664062], [271, 192, 8.860122680664062], [271, 192, 8.860122680664062], [271, 192, 8.860122680664062], [274, 156, 8.500100135803223], [274, 156, 8.500100135803223]]",67
2,"[[333, 421, 48.16606903076172], [272, 211, 8.544103622436523], [272, 211, 8.544103622436523], [272, 211, 8.544103622436523], [272, 211, 8.544103622436523], [272, 211, 8.544103622436523], [275, 193, 8.544103622436523], [275, 193, 8.544103622436523], [275, 193, 8.544103622436523], [279, 176, 8.324788093566895]]",86
3,"[[440, 327, 17.994169235229492], [267, 212, 8.875432968139648], [267, 212, 8.875432968139648], [267, 212, 8.875432968139648], [267, 212, 8.875432968139648], [267, 212, 8.875432968139648], [268, 193, 8.860122680664062], [268, 193, 8.860122680664062], [268, 193, 8.860122680664062], [268, 193, 8.860122680664062]]",49
4,"[[364, 370, 95.27995300292969], [266, 220, 7.905794143676758], [266, 220, 7.905794143676758], [266, 220, 7.905794143676758], [266, 220, 7.905794143676758], [267, 202, 8.544103622436523], [267, 202, 8.544103622436523], [267, 202, 8.544103622436523], [267, 202, 8.544103622436523], [267, 202, 8.544103622436523]]",61
5,"[[306, 430, 39.24272155761719], [267, 213, 8.860122680664062], [267, 213, 8.860122680664062], [267, 213, 8.860122680664062], [267, 213, 8.860122680664062], [267, 213, 8.860122680664062], [267, 213, 8.860122680664062], [268, 193, 8.860122680664062], [268, 193, 8.860122680664062], [268, 193, 8.860122680664062]]",97
6,"[[301, 151, 22.650829315185547], [268, 202, 9.013978004455566], [268, 202, 9.013978004455566], [268, 202, 9.013978004455566], [268, 202, 9.013978004455566], [268, 202, 9.013978004455566], [268, 202, 9.013978004455566], [270, 181, 8.860122680664062], [270, 181, 8.860122680664062], [271, 161, 9.029561996459961]]",2
7,"[[310, 220, 84.33885955810547], [269, 195, 8.077847480773926], [269, 195, 8.077847480773926], [269, 195, 8.077847480773926], [269, 195, 8.077847480773926], [269, 195, 8.077847480773926], [270, 178, 7.905794143676758], [270, 178, 7.905794143676758], [270, 178, 7.905794143676758], [271, 162, 8.077847480773926]]",83
8,"[[285, 424, 19.72951889038086], [270, 210, 8.077847480773926], [270, 210, 8.077847480773926], [270, 210, 8.077847480773926], [270, 210, 8.077847480773926], [270, 210, 8.077847480773926], [270, 210, 8.077847480773926], [270, 190, 8.544103622436523], [270, 190, 8.544103622436523], [270, 190, 8.544103622436523]]",32
9,"[[117, 437, 34.07721710205078], [273, 218, 7.905794143676758], [273, 218, 7.905794143676758], [273, 218, 7.905794143676758], [273, 197, 9.192488670349121], [273, 197, 9.192488670349121], [273, 197, 9.192488670349121], [275, 176, 8.860122680664062], [275, 176, 8.860122680664062], [275, 176, 8.860122680664062]]",25
10,"[[294, 188, 69.52886962890625], [271, 216, 8.381627082824707], [271, 216, 8.381627082824707], [271, 216, 8.381627082824707], [271, 216, 8.381627082824707], [271, 216, 8.381627082824707], [273, 198, 8.544103622436523], [273, 198, 8.544103622436523], [273, 198, 8.544103622436523], [273, 198, 8.544103622436523]]",89
11,"[[361, 423, 50.8504524230957], [265, 184, 9.013978004455566], [265, 184, 9.013978004455566], [265, 184, 9.013978004455566], [265, 184, 9.013978004455566], [264, 165, 8.875432968139648], [264, 165, 8.875432968139648], [264, 165, 8.875432968139648], [264, 165, 8.875432968139648], [264, 165, 8.875432968139648]]",75
